HandA,HandA_no,HandB,HandB_no,HandA_Wins,Ties,HandB_Wins
QTs,30,9To,69,0.7113121747970581,0.04068884253501892,0.24799899756908417
QTs,30,99o,70,0.47853711247444153,0.003951790276914835,0.5175111293792725
QTs,30,98s,71,0.6312284469604492,0.00905972346663475,0.35971182584762573
QTs,30,97s,72,0.6401852369308472,0.009014024399220943,0.3508007228374481
QTs,30,96s,73,0.6482958197593689,0.008915765210986137,0.342788428068161
QTs,30,95s,74,0.6584210395812988,0.009376109577715397,0.33220285177230835
QTs,30,94s,75,0.6707072854042053,0.009383117780089378,0.31990960240364075
QTs,30,93s,76,0.6711211800575256,0.00939012598246336,0.31948867440223694
QTs,30,92s,77,0.6745949983596802,0.009502401575446129,0.31590259075164795
QTs,30,8Ao,78,0.46399661898612976,0.004302244167774916,0.5317011475563049
QTs,30,8Ko,79,0.4650527834892273,0.006663536187261343,0.5282836556434631
QTs,30,8Qo,80,0.682424008846283,0.09998789429664612,0.21758811175823212
QTs,30,8Jo,81,0.6628811359405518,0.009087463840842247,0.32803142070770264
QTs,30,8To,82,0.7152326107025146,0.041367653757333755,0.2433997243642807
QTs,30,89o,83,0.6598994731903076,0.008828309364616871,0.3312722146511078
QTs,30,88o,84,0.4880951941013336,0.004212258383631706,0.5076925754547119
QTs,30,87s,85,0.6272343993186951,0.008919852785766125,0.36384573578834534
QTs,30,86s,86,0.632957398891449,0.008822031319141388,0.35822054743766785
QTs,30,85s,87,0.6430826783180237,0.009282376617193222,0.3476349711418152
QTs,30,84s,88,0.6548803448677063,0.009289384819567204,0.3358302712440491
QTs,30,83s,89,0.667406439781189,0.009385745972394943,0.3232077956199646
QTs,30,82s,90,0.6678795218467712,0.009392754174768925,0.3227277398109436
QTs,30,7Ao,91,0.4717271327972412,0.004264429677277803,0.5240084528923035
QTs,30,7Ko,92,0.4708186984062195,0.00654819468036294,0.5226330757141113
QTs,30,7Qo,93,0.6835523247718811,0.10050006955862045,0.21594762802124023
QTs,30,7Jo,94,0.6721925735473633,0.009029500186443329,0.3187779486179352
QTs,30,7To,95,0.7304654717445374,0.04226235672831535,0.2272721379995346
QTs,30,79o,96,0.6693028807640076,0.008770346641540527,0.3219267725944519
QTs,30,78o,97,0.6559769511222839,0.008682599291205406,0.3353404104709625
QTs,30,77o,98,0.5006879568099976,0.004718983080238104,0.4945930540561676
QTs,30,76s,99,0.6226670145988464,0.008806263096630573,0.3685266971588135
QTs,30,75s,100,0.6327922940254211,0.00926792249083519,0.35793980956077576
QTs,30,74s,101,0.6419728994369507,0.009274929761886597,0.3487521708011627
QTs,30,73s,102,0.6544989943504333,0.009371291846036911,0.33612972497940063
QTs,30,72s,103,0.6670842170715332,0.00946765299886465,0.323448121547699
QTs,30,6Ao,104,0.47172099351882935,0.0042857457883656025,0.5239932537078857
QTs,30,6Ko,105,0.4699891209602356,0.00644161319360137,0.5235692858695984
QTs,30,6Qo,106,0.6804605722427368,0.10094761103391647,0.2185918241739273
QTs,30,6Jo,107,0.6811922788619995,0.008922918699681759,0.30988481640815735
QTs,30,6To,108,0.7277533411979675,0.0423302948474884,0.22991633415222168
QTs,30,69o,109,0.6778908967971802,0.008663765154778957,0.3134453594684601
QTs,30,68o,110,0.6620175242424011,0.008576017804443836,0.3294064700603485
QTs,30,67o,111,0.6515160202980042,0.008571491576731205,0.339912474155426
QTs,30,66o,112,0.5024099946022034,0.005248094443231821,0.49234190583229065
QTs,30,65s,113,0.6209757328033447,0.00919784139841795,0.36982640624046326
QTs,30,64s,114,0.6301563382148743,0.009207476861774921,0.3606361746788025
QTs,30,63s,115,0.6426824331283569,0.009303838945925236,0.348013699054718
QTs,30,62s,116,0.6552677154541016,0.009400200098752975,0.33533209562301636
QTs,30,5Ao,117,0.469618558883667,0.004722438286989927,0.5256590247154236
QTs,30,5Ko,118,0.4732995629310608,0.006972915027290583,0.5197275280952454
QTs,30,5Qo,119,0.680963397026062,0.1020885705947876,0.21694804728031158
QTs,30,5Jo,120,0.6790719032287598,0.009353479370474815,0.31157463788986206
QTs,30,5To,121,0.739077091217041,0.04397369548678398,0.2169492095708847
QTs,30,59o,122,0.6885459423065186,0.00916878692805767,0.30228525400161743
QTs,30,58o,123,0.6726726293563843,0.00908103957772255,0.31824636459350586
QTs,30,57o,124,0.6621711254119873,0.009076513350009918,0.3287523686885834
QTs,30,56o,125,0.6497172713279724,0.00900322012603283,0.3412795066833496
QTs,30,55o,126,0.5098759531974792,0.006692736875265837,0.48343127965927124
QTs,30,54s,127,0.619566798210144,0.009541237726807594,0.3708919286727905
QTs,30,53s,128,0.6320929527282715,0.009641979821026325,0.35826510190963745
QTs,30,52s,129,0.6446781754493713,0.009738340973854065,0.3455834984779358
QTs,30,4Ao,130,0.469618558883667,0.0047841970808804035,0.5255972146987915
QTs,30,4Ko,131,0.4732995629310608,0.007034673821181059,0.5196657776832581
QTs,30,4Qo,132,0.6814539432525635,0.10281702131032944,0.2157290279865265
QTs,30,4Jo,133,0.6794266700744629,0.009415238164365292,0.31115809082984924
QTs,30,4To,134,0.740066409111023,0.04420340433716774,0.2157301902770996
QTs,30,49o,135,0.7014627456665039,0.009230545721948147,0.2893067002296448
QTs,30,48o,136,0.6850681900978088,0.009142798371613026,0.3057890236377716
QTs,30,47o,137,0.6717818379402161,0.009138272143900394,0.3190798759460449
QTs,30,46o,138,0.659328043460846,0.009064978919923306,0.33160701394081116
QTs,30,45o,139,0.648266613483429,0.009422830305993557,0.3423105776309967
QTs,30,44o,140,0.5133730173110962,0.007886644452810287,0.4787403345108032
QTs,30,43s,141,0.6325068473815918,0.00969716813415289,0.35779598355293274
QTs,30,42s,142,0.6450920701026917,0.009800099767744541,0.3451078236103058
QTs,30,3Ao,143,0.4704481363296509,0.0050107925198972225,0.5245410799980164
QTs,30,3Ko,144,0.47412917017936707,0.007261268794536591,0.5186095833778381
QTs,30,3Qo,145,0.6855268478393555,0.10376369953155518,0.21070946753025055
QTs,30,3Jo,146,0.6830433011054993,0.00964183360338211,0.3073148727416992
QTs,30,3To,147,0.7446975708007812,0.04459176957607269,0.21071062982082367
